Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Afia Takhassusi,Very Good,25.464988,55.647667,Umm Al Quwain,751,24169,22760,24608,26920,26877,24296,Internal Medicine; Pathology and Laboratory Services; Psychiatry and Mental Health; Emergency Medicine; Radiology,14.23,15.21,15.38,14.88,15.59,15.9,13.9,18.6,14.11,19.83,18.49,19.68,1337,1298,1327,1641,1700,1849,310,30380,21818,8562,Accurate diagnosis; Clean environment,Lack of privacy
Al Saada Diagnostic Center,Good,25.377816,55.465529,Ajman,286,46566,49876,45479,48907,55555,61210,Ophthalmology (Eye care); Cardiology; Dental and Oral Surgery; Psychiatry and Mental Health; Pediatrics,106.05,114.68,113.05,108.61,104.43,102.24,98.72,93.41,109.31,107.28,155.89,115.12,111,128,155,132,116,103,204,17748,5128,12620,Clean; Personalized care; Well-managed; Positive experience; Clean rooms,No communication
Al Mustashfa Amal,Acceptable,25.221039,56.175434,Fujairah,300,13038,12924,13904,15015,14580,14591,"Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Urology; Psychiatry and Mental Health; Pulmonology (Respiratory care); Ear, Nose, and Throat (ENT) / Otolaryngology; Dermatology; Emergency Medicine; Anesthesiology; General Surgery; Pathology and Laboratory Services; Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation",25.17,24.5,24.1,23.93,23.54,25.67,23.56,25.96,24.48,29.5,28.58,25.14,1298,1245,1079,1042,1186,1280,484,33880,9168,24712,Clean environment; Compassionate,Poor hygiene; No explanation
Ilaj Hilal Modern,Acceptable,25.250666,56.343517,Fujairah,918,22648,24089,22738,20915,21087,19926,Pulmonology (Respiratory care); Dermatology; Ophthalmology (Eye care); Oncology (Cancer treatment); Pediatrics; Dental and Oral Surgery; Anesthesiology; Gastroenterology (Digestive system); General Surgery; Pathology and Laboratory Services; Endocrinology (Hormonal disorders); Intensive Care Unit (ICU); Nephrology (Kidney care); Cardiology,70.64,75.41,82.32,82.86,84.25,89.92,97.37,78.41,69.1,120.96,93.01,105.44,40,39,41,45,47,49,555,10545,3748,6797,Prompt attention; Helpful; Friendly; Respectful,Frustrating; Disorganized; Noisy
Rahma Polyclinic,Good,25.58118,56.040626,Ras Al Khaimah,239,54057,59103,59848,65797,66025,60571,Oncology (Cancer treatment); Psychiatry and Mental Health; Pediatrics; General Surgery; Obstetrics and Gynecology (OB/GYN),79.12,79.91,81.52,79.13,82.07,80.53,100.45,72.97,121.37,110.14,69.95,97.85,3492,3872,4544,4277,4199,4607,749,8988,6099,2889,Respectful; Professionalism; Follow-up care,Inattentive
Al Hayat Hayat Medical Center,Very Good,25.225445,55.303452,Sharjah,577,90786,82263,87703,84578,86151,94949,Radiology; Urology; Pulmonology (Respiratory care); Ophthalmology (Eye care); Pathology and Laboratory Services; Orthopedics; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Pediatrics; General Surgery; Dermatology,101.54,109.53,112.37,109.26,113.55,109.66,122.21,133.24,159.9,116.75,124.36,160.46,3604,4211,4230,4031,3832,4143,937,76834,41657,35177,Professionalism; Well-equipped; Respectful; Fast service,Poor service
Al Dar Shifa Medical Center,Very Bad,25.350012,55.545259,Ajman,22,3364,3700,3496,3610,3284,3305,"Psychiatry and Mental Health; Emergency Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Neurology; Intensive Care Unit (ICU); Anesthesiology; Nephrology (Kidney care); Pathology and Laboratory Services; Oncology (Cancer treatment); Cardiology",148.23,158.07,168.58,162.73,174.89,167.39,207.32,174.82,213.96,220.32,223.17,222.35,89,97,89,77,66,65,194,5432,3739,1693,Clean; Modern; Attentive,Hidden charges; Stressed
Noor Medical Center,Good,23.520541,53.92145,Abu Dhabi,497,22669,21769,23868,27327,25352,29071,Intensive Care Unit (ICU); Orthopedics; Internal Medicine; Radiology; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Pulmonology (Respiratory care); Gastroenterology (Digestive system),140.86,139.55,151.87,155.42,167.57,174.96,157.44,190.78,128.34,166.27,221.18,194.97,2111,1864,1752,1592,1796,2094,491,21604,6093,15511,Knowledgeable; Thorough; Comforting; Skilled; Positive experience,No communication
Al Wahat Afia,Bad,25.430876,55.565017,Sharjah,423,39194,36183,37089,34277,36116,39974,"Cardiology; Oncology (Cancer treatment); Pediatrics; Pulmonology (Respiratory care); Dermatology; Dental and Oral Surgery; Orthopedics; Intensive Care Unit (ICU); Radiology; Internal Medicine; Infectious Diseases; Ophthalmology (Eye care); Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Nephrology (Kidney care)",192.73,194.54,209.42,201.34,196.51,202.79,205.36,229.48,248.84,224.72,204.12,277.17,3303,3629,3226,3275,3242,3243,21,2058,636,1422,Painless; Attentive; Professional,Delayed treatment; Noisy; Disorganized; Painful
Mustashfa Afia Diagnostic Center,Good,25.356505,55.471177,Ajman,451,37863,40623,38148,35995,36811,41573,"Intensive Care Unit (ICU); General Surgery; Radiology; Anesthesiology; Nephrology (Kidney care); Pathology and Laboratory Services; Physiotherapy and Rehabilitation; Orthopedics; Ear, Nose, and Throat (ENT) / Otolaryngology; Infectious Diseases; Emergency Medicine; Gastroenterology (Digestive system)",58.8,59.17,59,56.95,55.48,59.59,61.64,48.45,77.33,84.84,52.48,48.85,1843,1889,2185,1943,1809,2109,824,69216,51123,18093,Skilled; Respect; Calm; Compassionate; Accurate diagnosis,Negligent
